#,Negocio,Dirección,⭐,💰 Precio (MXN),📝 Observaciones,📍 Google Maps,phone,hours,website,photo,plusCode,isTop10,reviewCount,fullHours,priceLevel,category
27,Tortas Migue,Mexicana ·  · C. Mexicaltzingo 1727,4.3,$100-200,¡Excelente lugar para unas buenas tortas ahogadas en Guadalajara!,https://www.google.com/maps/place/Tortas+Migue/data=!4m7!3m6!1s0x8428afc304515133:0x79b2ef3072b8e550!8m2!3d20.6683257!4d-103.3634762!16s%2Fg%2F11h5v6mpsf!19sChIJM1FRBMOvKIQRUOW4cjDvsnk?authuser=0&hl=es-419&rclk=1,"
+52 33 3825 4520","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFo94B5bHye9ICA0OBsbsbYEMps2x29WzpcWyZxn9QkdxlMkbL8lrsPXryuQTCCH23-o2MiJxqlKzE6zemIWoGky0pCacNa12jOKE0XTZIme6ZPq-OgffOfMAr2Oz1B3F-NwhSf=w1000-h1000-k-no,N/A,false,2978,N/A,N/A,Restaurante mexicano
28,La Torta Loca,"4.4(2,939) · $1-100",4.4,$1-100,Tienen varios locales habilitados para el mismo lugar de la torta loca.,https://www.google.com/maps/place/La+Torta+Loca/data=!4m7!3m6!1s0x8428b1f2372722ef:0xcaa0b7e219c7a2cd!8m2!3d20.6750318!4d-103.3395798!16s%2Fg%2F11b_3ckhg4!19sChIJ7yInN_KxKIQRzaLHGeK3oMo?authuser=0&hl=es-419&rclk=1,"
+52 33 1283 4899","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGu-dVvMKnhTY-HHufsvUxKSFbvZcFISGj6h9tCq54aAVyO6ADhinLvFz5NZ4tSb-3hTt4krpoai3MYMGLNuRCp9urVnWLhnRfK6wgzLTCRabXrnNrsXAUQAexGwWDYRWsG-Ta_5bvLN_Sb=w1000-h1000-k-no,N/A,false,2939,N/A,N/A,Restaurante mexicano
29,Tortas Ahogadalajara by Amadea,Desayuno ·  · Av. Miguel López de Legaspi 1490,4.3,$100-200,Muy ricas las tortas ahogadas y los tacos de carnitas también.,https://www.google.com/maps/place/Tortas+Ahogadalajara+by+Amadea/data=!4m7!3m6!1s0x8428ad9265c35b4d:0x43dfc5c2df46fc79!8m2!3d20.6371049!4d-103.3714264!16s%2Fg%2F1ptwldwrt!19sChIJTVvDZZKtKIQRefxG38LF30M?authuser=0&hl=es-419&rclk=1,"
+52 33 3144 9754","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEN1NpwuKHq-IvhAhc3uMm-GgPwDdhFa4OUoUk2unS7XWctUJsoRmm4IywYPKIM-gKXGLvOehR7Yy4_VuFAoQdkJi6Vv3WpbeNNnZgGcm04CtkQG7rSpnQoLLOz75i8yxlha7RKmg=w1000-h1000-k-no,N/A,false,2871,N/A,N/A,Restaurante de desayunos
30,Tortas Ahogadas Clement's,"4.6(2,859) · $100-200",4.6,$100-200,"Las mejores tortas ahogadas, en especial las de chicharrón.",https://www.google.com/maps/place/Tortas+Ahogadas+Clement%27s/data=!4m7!3m6!1s0x8428ae7fb77b525f:0xdda0202dd145c83f!8m2!3d20.663467!4d-103.4033547!16s%2Fg%2F1ptvz591x!19sChIJX1J7t3-uKIQRP8hF0S0goN0?authuser=0&hl=es-419&rclk=1,"
+52 33 1732 4251","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGoiaUYBatl1saAjRX1ebMlyAJ9g0WQwT4T61iNZWGa5Kjj7q2gIZ97ze0x-G2lMneNs8wde8r7V-s-s9SaB8vMzd4KUZJ9JjypJRbPCfgq4kMkdw07QKpMmIPQUE_r_mvQEjI0uA=w1000-h1000-k-no,N/A,false,2859,N/A,N/A,Restaurante mexicano
31,Tortas Ahogadas Pepe Castañeda,Mexicana ·  · C. Francisco Vázquez Coronado 1858,4.4,$100-200,Excelente lugar 0ara comer unas ricas tortas ahogadas,https://www.google.com/maps/place/Tortas+Ahogadas+Pepe+Casta%C3%B1eda/data=!4m7!3m6!1s0x8428adeb593b7f6d:0x2059c1bf3f546e74!8m2!3d20.641103!4d-103.376294!16s%2Fg%2F1pv03jfbf!19sChIJbX87WeutKIQRdG5UP7_BWSA?authuser=0&hl=es-419&rclk=1,"
+52 33 3812 8423","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://m.facebook.com/pages/Tortas-Ahogadas-Pepe-Castaneda/168883379882709,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGC1XX3tJ-LqWAqhEJqYd1cmoEwjnZMKCt4d62qeabw4hcJbRKTerIEqxtyeq7A4clySPnqNIvM0jeTbRWAJ3xwSey8ukkfQzIINcTassm7O-PMzXb8-T9XYMudfjDaqoC_ljoirA=w1000-h1000-k-no,N/A,false,2809,N/A,N/A,Restaurante mexicano
32,Las Ro,Mexicana ·  · Av. Inglaterra 4944,4.3,$100-200,Recomendable tortas ahogadas y tacos dorados con carne,https://www.google.com/maps/place/Las+Ro/data=!4m7!3m6!1s0x8428ae9324323359:0x243e629cf5d2981!8m2!3d20.6825763!4d-103.4199659!16s%2Fg%2F1hf7f3vj2!19sChIJWTMyJJOuKIQRgSldzynmQwI?authuser=0&hl=es-419&rclk=1,"
+52 33 3627 4773","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGAueVhy7VeSsPO3tjLuAZ89eskilHB04auAr6vg2MHZ-ngPiSw8cceXX4ItdVYhwUyUR8h6fbyqpNeEU_cL0QJBDCCQTa9oB1rXDJCP_wiebh_R3zFi3X1-KI5OhEriDo32S2mQw=w1000-h1000-k-no,N/A,false,2805,N/A,N/A,Restaurante mexicano
33,Lonches Rafa,"4.4(2,798) · $1-100",4.4,$1-100,De los mejores lonches de pierna a la plancha que ge comido.,https://www.google.com/maps/place/Lonches+Rafa/data=!4m7!3m6!1s0x8428ad8a41ebe5ff:0xdd423f464f1ad238!8m2!3d20.657423!4d-103.371059!16s%2Fg%2F1ptx_hrfz!19sChIJ_-XrQYqtKIQRONIaT0Y_Qt0?authuser=0&hl=es-419&rclk=1,"
+52 33 3812 9650","Horarios de mayor concurrencia
miércoles



EN TIEMPO REALPoco concurrido
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHajwKIdg8IoHmzYE5U-YB_sJv0lblovoS_R-TTB0TvdXuvLAyWSdCAgHTpU3t-ItaBjCKsq9o5QHfyqfHrylA9_G9Nob39vST03skkPe_hyNCKNa7xCo6lBaEX_d3K6wUt3aLU=w1000-h1000-k-no,N/A,false,2798,N/A,N/A,Restaurante mexicano
34,Tortas Ahogadas El Príncipe Heredero,"4.6(2,715) · $100-200",4.6,$100-200,"Excelente tortas y tacos, la salsa dulce y picante...",https://www.google.com/maps/place/Tortas+Ahogadas+El+Pr%C3%ADncipe+Heredero/data=!4m7!3m6!1s0x8428b1f865c75287:0xc4167e541109e7fb!8m2!3d20.6665126!4d-103.3494329!16s%2Fg%2F11b8c30q5r!19sChIJh1LHZfixKIQR--cJEVR-FsQ?authuser=0&hl=es-419&rclk=1,"
+52 33 3138 3162","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGdUPB301PRtCKtqpVTbf4cLtd-iKUdGwsxPI7jGmCar5a15uniZUyMyoZHEHlnAXKxhulQUmyXnxBCIhfYptUfI3ejjpORtxGh7zo8Hy7k6zwvUXMaDh0P0I6nQ736HTgeJbqulg=w1000-h1000-k-no,N/A,false,2715,N/A,N/A,Restaurante mexicano
35,Súper Tortas La Bendición,Comida rápida ·  · Av. 8 de Julio 111,4.2,$100-200,"Buen lugar para comer tortas estilo CDMX, buenos precios y buena atención.",https://www.google.com/maps/place/S%C3%BAper+Tortas+La+Bendici%C3%B3n/data=!4m7!3m6!1s0x8428b1fcc6cca84d:0x198983fc67ce9f4d!8m2!3d20.674723!4d-103.3523735!16s%2Fg%2F1tdvdx7v!19sChIJTajMxvyxKIQRTZ_OZ_yDiRk?authuser=0&hl=es-419&rclk=1,"
+52 33 3658 3364","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://supertortaslabendicion.shop/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHUNHCiJSBAQmXI04Vb0kcYikrDvYt4Df1dDahV00ejeck7N7BYGPZBKFwUVa06_0ItHHJCRpnnfdQ2Amg844oUsVcVoyN4tAGgjG5K2VY6cMbFYs1xMQaYGggCWIojra6Fc2BE=w1000-h1000-k-no,N/A,false,2666,N/A,N/A,Restaurante de comida rápida
36,Tortas Ahogadas Alex Co,"4.6(2,587) · $100-200",4.6,$100-200,Las mejores carnitas y por lo tanto las mejores tortas ahogadas,https://www.google.com/maps/place/Tortas+Ahogadas+Alex+Co/data=!4m7!3m6!1s0x8428ac4f8ae7ad75:0x951d43f809fe285e!8m2!3d20.626785!4d-103.4163967!16s%2Fg%2F1ptyh15k_!19sChIJda3nik-sKIQRXij-CfhDHZU?authuser=0&hl=es-419&rclk=1,"
+52 33 3632 8085","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://tortasahogadasalexco.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGi7fodDp5CwYrm3TzQd83sZGEV9F1jmqGqRJfwr5hQTbMS-nQGv2IYcJBlgcNc6uPmBOsY40hZ3hvtF9NdFfct3h5mKHljnBf5ONQS4dkfEgfySlbhIPJL7htCbJabq4qMirFciWIJgxXO=w1000-h1000-k-no,N/A,false,2587,N/A,N/A,Restaurante mexicano
37,Loncherías La Playita,"4.0(2,355) · $100-200",4.0,$100-200,,https://www.google.com/maps/place/Loncher%C3%ADas+La+Playita/data=!4m7!3m6!1s0x8428b1f06583d47b:0x51b97d62e97aaf4d!8m2!3d20.6753109!4d-103.346287!16s%2Fg%2F1tfs1d9q!19sChIJe9SDZfCxKIQRTa966WJ9uVE?authuser=0&hl=es-419&rclk=1,"
+52 33 3614 5747","Horarios de mayor concurrencia
miércoles



EN TIEMPO REALMás concurrido de lo habitual
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://es-la.facebook.com/loncheriaslaplayita/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAG4-Y0W9Ggs98OhBvkn6BQY818Q3naqyN6OqhqypzDDh0F-IsneTjA_oxGAygiLDeGPcl4qTiSSugiQOz24fzhpOZjZBPQj60YVeakpZ44iE6a1qUjndL59A85X0kqUT4_OHO5-=w1000-h1000-k-no,N/A,false,2355,N/A,N/A,Restaurante de comida rápida
38,Tortas Ahogadas El Profe Jimenez,Mexicana · C. Andrés Terán 841,4.6,$100-200,Las tortas y tacos estaban muy muy ricas y la atención muy amable!,https://www.google.com/maps/place/Tortas+Ahogadas+El+Profe+Jimenez/data=!4m7!3m6!1s0x8428ae22faf31e7b:0x70c6e862351920bf!8m2!3d20.6896962!4d-103.3680441!16s%2Fg%2F11bx1tn0v8!19sChIJex7z-iKuKIQRvyAZNWLoxnA?authuser=0&hl=es-419&rclk=1,"
+52 33 3641 1755","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/ProfeJimenez/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAE3ni3tmIfK5llv6wOUaM-0p40y-cVWUSY1HfT-7DXHB5EwZ3JNupPF_at_lgZX6UsDuz1LQM4hAuikelxfOwffgSFXNA3rfDzyeN8Gf9xUPNmYHveDNkVDEoMZI7mAQ7uy3iOYbDvVvIcD=w1000-h1000-k-no,N/A,false,2324,N/A,N/A,Restaurante mexicano
39,Tortas Enrique Perro,"Carr. a Tesistán, Zapopan",4.4,$75–$95,Especialidad en carnitas premium,"https://www.google.com/maps/place/Tortas+Ahogadas+Enrique+El+Original/@20.6752843,-103.429721,13z/data=!3m1!5s0x8428b1fd419b6e5b:0x828b997c8bfdc1cc!4m10!1m2!2m1!1sTortas+Enrique+Perro+Guadalajara!3m6!1s0x8428b1d23e72f8cf:0xe515c71a55864ff7!8m2!3d20.6752843!4d-103.3576232!15sCiBUb3J0YXMgRW5yaXF1ZSBQZXJybyBHdWFkYWxhamFyYVoiIiB0b3J0YXMgZW5yaXF1ZSBwZXJybyBndWFkYWxhamFyYZIBGG1leGljYW5fdG9ydGFfcmVzdGF1cmFudJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOTmIxbDVSVWRSRUFF4AEA-gEECCEQLg!16s%2Fg%2F1vppsvhc?entry=ttu&g_ep=EgoyMDI2MDUxMC4wIKXMDSoASAFQAw%3D%3D",N/A,N/A,N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEgdYt5wShYPaZPCiJHiVnp-S3FYCGz_k3-NQbnOzCx3MD-q7E4a61AtlQY5ta3uFXH2os7NFmrG2y9RYjyKJb3A4JCMr8OfftUxbVZild363R1ByKjZf8AIRFMEn6IUyvYv1cS4A=w800-h800-k-no,N/A,false,2308,N/A,N/A,N/A
40,Tortas Ahogadas El Tejón,Restaurante ·  · C. Uxmal 467,4.6,$100-200,"De las mejores tortas que te probado, 100% recomendadas.",https://www.google.com/maps/place/Tortas+Ahogadas+El+Tej%C3%B3n/data=!4m7!3m6!1s0x8428b1c5ba0f84f3:0xaf7ead0e292938bb!8m2!3d20.6993881!4d-103.3204899!16s%2Fg%2F11b7tb8ps0!19sChIJ84QPusWxKIQRuzgpKQ6tfq8?authuser=0&hl=es-419&rclk=1,"
+52 33 3638 2888","Horarios de mayor concurrencia
miércoles



Cerrado los miércoles—elige otro día
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFy-9Ux186hTSf6Cz4-ZxdqgnPsWjzOcctT4CNi2NhjrZgl8ozBWZDH0sV_cyTXBjXRFM5KYUQ893oJDRXYhP9csEt_Tv8FJvW0mrQKYNQ-Rp1r6ZRjb5whdNxLOeRLpMW4Z2z_OgFDd7tp=w1000-h1000-k-no,N/A,false,2176,N/A,N/A,Restaurante
41,Las Originales TORTAS AHOGADAS José,Mexicana · C. Nicolás Régules 107,4.6,$100-200,"Muy ricas las tortas, en lo personal los tacos son muy deliciosos.",https://www.google.com/maps/place/Las+Originales+TORTAS+AHOGADAS+Jos%C3%A9/data=!4m7!3m6!1s0x8428b1f88425134f:0xe94e7838fb00df10!8m2!3d20.66596!4d-103.350464!16s%2Fg%2F1q2wkyc_p!19sChIJTxMlhPixKIQREN8A-zh4Tuk?authuser=0&hl=es-419&rclk=1,"
+52 33 3596 1614","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://tortaslabicicleta.com/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGDKdoUhnW_20D7hw5ocBY6jByb1KYJDzk5PAX6gvC0inWxhVD8ITVYWjt0jrBiRZmGIuaj7x3aaBIgXcXD8OBgoY4jEWwO__yfh6dI6TW2dV6aUFyqmbFvXlGYJ1d-4LzVfS7B=w1000-h1000-k-no,N/A,false,2139,N/A,N/A,Restaurante mexicano
42,Las Famosas Tortas Ahogadas,Mexicana ·  · Av. Enrique Ladrón de Guevara 1719,4.0,$100-200,"Unas tortas ahogadas y tacos malitos, tirando a muy malitos 🙃",https://www.google.com/maps/place/Las+Famosas+Tortas+Ahogadas/data=!4m7!3m6!1s0x8428ac3ff77eb88d:0xa5fcd71ac742426a!8m2!3d20.6362741!4d-103.4272268!16s%2Fg%2F1pv5y7qzf!19sChIJjbh-9z-sKIQRakJCxxrX_KU?authuser=0&hl=es-419&rclk=1,"
+52 33 3631 7956","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAENJySUXcsMEyZzFKM5Pyd6RicIfmIUVNJ3ZlvEZ_nEkpHEprTqD3cUFE2Bu9vZrsw4xDN7ElbG8Hw1ru2Sz4NckbSmKbjdXJZmtIONKoHjUh-KPnxrlIpn1cONVE4ppePuLnE=w1000-h1000-k-no,N/A,false,2115,N/A,N/A,Restaurante mexicano
43,Cenaduría Esther,Mexicana · C. Jesús González Ortega 484,4.3,$100-200,"Muy rica toda la comida, flautas, quesadilla, sopes, pozole, tortas etc",https://www.google.com/maps/place/Cenadur%C3%ADa+Esther/data=!4m7!3m6!1s0x8428b1e6887a7627:0x662e43d1e4c0bd1e!8m2!3d20.6837343!4d-103.3501881!16s%2Fg%2F11bw7cxfqf!19sChIJJ3Z6iOaxKIQRHr3A5NFDLmY?authuser=0&hl=es-419&rclk=1,"
+52 33 3658 0096","Horarios de mayor concurrencia
miércoles



EN TIEMPO REALMás concurrido de lo habitual
6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
12a.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFo5ZYxsoweKCIGr_9RMXM1PNHkq0wBzVnWGmQ65nkhEbXbidnT-mZ9I6SJ6DhPN108VJMPme0J81vYDqzfrxZvje4sslNEOD1EAyCZkgALSZXgcMhL7R1FxzwgqzTTmH1q8BlygA=w1000-h1000-k-no,N/A,false,2090,N/A,N/A,Restaurante mexicano
44,TORTAS AHOGADAS ZAMORA,"4.3(2,045) · $100-200",4.3,$100-200,"Excelentes tortas ahogadas, buen pan, salsa y carnitas.",https://www.google.com/maps/place/TORTAS+AHOGADAS+ZAMORA/data=!4m7!3m6!1s0x8428adfa3a8fe2cb:0xe21428f7679fcf6c!8m2!3d20.651916!4d-103.3663846!16s%2Fg%2F1ptyx9pjs!19sChIJy-KPOvqtKIQRbM-fZ_coFOI?authuser=0&hl=es-419&rclk=1,"
+52 33 3811 8248","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://instagram.com/tortaszamora_oficial?igshid=YmMyMTA2M2Y=,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEUj3GPk8bmCHSj0ngAW5A2IJ3EMgbIAYe9WTovQFKD0itIEbFS7_CoeDmXjotwTQkSuoUjrgDoRETJ8L6H9a1z8A867ugxWTEHhNrjgZdHC2T1Ao14922cdbY7K-gaTGIims1NhA=w1000-h1000-k-no,N/A,false,2045,N/A,N/A,Restaurante de comida rápida
45,Tortas Ahogadas Pepe's,Comida rápida ·  · C. Salvador López Chávez 1530,4.6,$100-200,Buen lugar para degustar unas buenas tortas ahogadas,https://www.google.com/maps/place/Tortas+Ahogadas+Pepe%27s/data=!4m7!3m6!1s0x8428b23d8a191459:0x962db4c85f2d4c59!8m2!3d20.650952!4d-103.3356222!16s%2Fg%2F1ptxqbsjp!19sChIJWRQZij2yKIQRWUwtX8i0LZY?authuser=0&hl=es-419&rclk=1,"
+52 33 3619 4324","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHHVLemEcIG4Az6dH-12Dnx5ko041VxPNHKqIvXpPAos5MXJ4gItW4w7byv97y5GyopHjYQmIdztKfpSgj8LWmlC7kbOTKXpZ_NyGBwrDPMS-OMRneTyRZf4ZhxjW8fe5lIyq--Cg=w1000-h1000-k-no,N/A,false,2021,N/A,N/A,Restaurante de comida rápida
46,Los Ruvalcaba,Restaurante ·  · Av. Mariano Otero 5384,4.4,$100-200,"4.4(2,015) · $100-200",https://www.google.com/maps/place/Los+Ruvalcaba/data=!4m7!3m6!1s0x8428ac408b25c961:0x9817d4285b2e69c1!8m2!3d20.634966!4d-103.4249413!16s%2Fg%2F1th0yn_0!19sChIJYckli0CsKIQRwWkuWyjUF5g?authuser=0&hl=es-419&rclk=1,"
+52 33 3120 5183","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.facebook.com/Tortas-Ahogadas-Los-Ruvalcaba-110384387468104/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGgFxIA4VhOf67Ee18hy7v5ACwvuTYx53qaljieqZamGemb4UsgUIrrOgNVZwVM-xooD-BnPdagrcbtVRGs4qgfdCh7Wu97CpnR0tgOh2guIDgDA6HnF2bbyCIQ-y8HV9EUoyxY=w1000-h1000-k-no,N/A,false,2015,N/A,N/A,Restaurante
47,Tortas Toño Lomas Universidad, · Av. Ignacio L Vallarta 5566,4.5,$100-200,"4.5(1,983) · $100-200",https://www.google.com/maps/place/Tortas+To%C3%B1o+Lomas+Universidad/data=!4m7!3m6!1s0x8428aec75c70d103:0xdd707c138eab5ad1!8m2!3d20.6829461!4d-103.4347297!16s%2Fg%2F1ptwqmg6m!19sChIJA9FwXMeuKIQR0VqrjhN8cN0?authuser=0&hl=es-419&rclk=1,"
+52 33 1657 0853","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://www.tortastono.com.mx/,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFlGxWxdS-SjU8l3toNxchzM90DxzO2mUQw4bx2uD7h0FcBB4SyDgI0eMsDm9MxLB8WmziyrKigeQGF39H5efdCVjzI7DhRVzeJCruIFv3lCu3eqjOyMdysgHBVITA29krHYCTf=w1000-h1000-k-no,N/A,false,1983,N/A,N/A,N/A
48,"TORTAS AHOGADAS ""LUPILLO""","4.2(1,962) · $100-200",4.2,$100-200,"Muy buenas tortas ahogadas, de las mejores que he probado.",https://www.google.com/maps/place/TORTAS+AHOGADAS+%22LUPILLO%22/data=!4m7!3m6!1s0x8428af0cfeb4cb6d:0x8879d5f1c6730311!8m2!3d20.7278948!4d-103.4132095!16s%2Fg%2F1ptw9v6ky!19sChIJbcu0_gyvKIQREQNzxvHVeYg?authuser=0&hl=es-419&rclk=1,"
+52 33 3656 8614","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFxu8SBKw4QDgaini_RJlDrS27OSPvZ3_ZPpUhrbHh4FkxyaUv5zzmMGATJQjUZmI292TQdoBiD7AHYp_f5pCn1YawkG9lfpfb_hMK53sKSsbzWcdEEKqs5lgLq_3Gt5yCDnTY=w1000-h1000-k-no,N/A,false,1962,N/A,N/A,Restaurante mexicano
49,Laloncheria,Comida rápida ·  · C. 5 1261,4.4,$100-200,"Lonches con telera deliciosos, aguas muy ricas.",https://www.google.com/maps/place/Laloncheria/data=!4m7!3m6!1s0x8428ad8cea224d67:0xb4d05f570b80b892!8m2!3d20.6392605!4d-103.3662717!16s%2Fg%2F1pp2tx0kv!19sChIJZ00i6oytKIQRkriAC1df0LQ?authuser=0&hl=es-419&rclk=1,"
+52 33 3144 4420","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEubLNBRZ9kuuo5B-wgQUG0Aay8sZ9QAcE1z8-cYvY92z_JtIDNMFHMtciiY9tNDy4zwYYBE6g2FBF6eLJ0vSsZS7zySsL_tlmrrBN4X4qdV1mME2a35JfhiqsZHUJLNTFvlOpY=w1000-h1000-k-no,N/A,false,1913,N/A,N/A,Restaurante de comida rápida
50,Tortas Jerry,Comida rápida ·  · Av. Obreros de Cananea 1436A,4.7,$1-100,"4.7(1,882) · $1-100",https://www.google.com/maps/place/Tortas+Jerry/data=!4m7!3m6!1s0x8428b020accfbf39:0x2d7f8b80ce2a0513!8m2!3d20.7290926!4d-103.3582363!16s%2Fg%2F11c1wsmr4x!19sChIJOb_PrCCwKIQREwUqzoCLfy0?authuser=0&hl=es-419&rclk=1,"
+52 33 3861 1993","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",http://tortasjerry.com.mx/,https://lh3.googleusercontent.com/gps-proxy/ALd4DhGoyFo51vvj2T_V-cz1kG70xvv4FNKVUIyubzxC4f0ExqCX_nSAfkPiYLGT502oJU08mfHkX0fnF9sMecY4VVlo7bxVaQzgSp_n3bH-mqic-lKtHJp4anA3tFiagOygCH35UXbAfFqTwfZpMllCpegaR4peUHkYgqlwh-PLlfyvTAmBxXqllwo=w1000-h1000-k-no,N/A,false,1882,N/A,N/A,Restaurante de comida rápida
51,El Rincón de La Abuela,Mexicana · Calle Independencia 131,4.1,$100-200,"4.1(1,761) · $100-200",https://www.google.com/maps/place/El+Rinc%C3%B3n+de+La+Abuela/data=!4m7!3m6!1s0x8428b3b4a9ff5547:0x4cfc94980bab9293!8m2!3d20.6392191!4d-103.3121683!16s%2Fg%2F1ptxxqn44!19sChIJR1X_qbSzKIQRk5KrC5iU_Ew?authuser=0&hl=es-419&rclk=1,"
+52 33 1578 0194","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",N/A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGopLgUVcyWsS16M5HmE7hz3NCZY7vOu4IDRV4QICthnqITcL7TjWWvL9X-wDGy3Kt3T9tO_WIyZDMqM9faawdVJkakB2aBkY3dYy6DjWnuu-pLmWXygsdJYRrGBMwqfkGVp1Q=w1000-h1000-k-no,N/A,false,1761,N/A,N/A,Restaurante mexicano
52,Tortas Ahogadas Guadalajara,"4.3(1,759) · $$",4.3,$$,I travel 2hr Just to go eat here.👍 Tortas Ahogadas & Carne en su Jugo.,https://www.google.com/maps/place/Tortas+Ahogadas+Guadalajara/data=!4m7!3m6!1s0x80c2c91020dcad33:0xf15ac8ef49a28f!8m2!3d33.9864043!4d-118.2298872!16s%2Fg%2F1vfn6y0b!19sChIJM63cIBDJwoARj6JJ78ha8QA?authuser=0&hl=es-419&rclk=1,"
+1 323-587-3115","Horarios de mayor concurrencia
miércoles



6a.m.
9a.m.
12p.m.
3p.m.
6p.m.
9p.m.
",https://tortasahogadasinla.com/?utm_source=google,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHyeHYjBMdlHyvvEwomyBYvkUEpxgSg-gEUNm4dDku4BymHxBZW-pG417aqm2MBq2CMgrjcr7lh82pgXRGIWRRMOdlQH4n9rTCdkpM5wcwkHRqxnynd6sze7PCQCYTB0Newlaz3=w1000-h1000-k-no,N/A,false,1759,N/A,$$,Restaurante mexicano
